Product Name,Current Price,Typical Price,Rating,Total Reviews,Delivery Charges,Fabric Type,Care Instructions,Origin,Customer Reviews
TELALEO 5 Pack Men's Athletic Compression Shirts Sleeveless Workout Tank Top Sports Base Layer Running Basketball,"PKR 8,075.16",,4.5 out of 5 stars,"(3,756)","PKR 22,924.66 Shipping & Import Charges to Pakistan","[Easy Care] Machine Wash Cold! Don't Bleach! Hung Dry!85% Polyester,15% Elastane.",Machine Wash,Imported,"{'“Perfect for Workouts – Highly Recommend!”': '5 out of 5 stars', 'Size down.': '5 out of 5 stars', 'Highly Recommend': '5 out of 5 stars', 'Good quality': '4 out of 5 stars', 'Excellent fit and comfort.': '5 out of 5 stars', 'Fantastic fit': '5 out of 5 stars', 'Good but runs small': '3 out of 5 stars', 'Makes you look good': '5 out of 5 stars'}"
"FULLSOFT High Waisted Biker Shorts for Women-5"" Tummy Control Fitness Athletic Workout Running Yoga Gym Shorts","PKR 1,807.79 with 19 percent savings","PKR2,225.61",4.4 out of 5 stars,"(8,286)","PKR 17,710.21 Shipping & Import Charges to Pakistan","92% Polyester, 8% Spandex",Hand Wash Only,Imported,"{'False Advertising!!!': '1 out of 5 stars', 'False advertising': '1 out of 5 stars', 'Muy mala compra': '2 out of 5 stars', 'Misleading headline': '1 out of 5 stars'}"
"Reebok Men's Reflective Small Logo Crewneck T-Shirt, Standard Fit, Lightweight Cool Touch Jersey Fabric","PKR 4,629.50",,4.8 out of 5 stars,(142),"PKR 20,111.31 Shipping & Import Charges to Pakistan","90% Polyester, 10% Spandex",Machine Wash,Imported,"{'Accurate sizing chart': '5 out of 5 stars', 'Awesome T-shirt': '5 out of 5 stars', 'Llegó según lo acordado': '4 out of 5 stars', 'Soft and lightweight': '5 out of 5 stars', 'Great Shirt!': '5 out of 5 stars', 'COMFORTABLE!!': '5 out of 5 stars', 'Excelente': '5 out of 5 stars', 'Cómoda': '5 out of 5 stars'}"
TELALEO 5 Pack Men's Workout Tank Tops Sleeveless Mesh Muscle Gym Shirt Quick Dry Black/Gray/Charcoal/Navy/Blue,"PKR 4,729.78 with 11 percent savings","PKR5,289.66",4.4 out of 5 stars,"(1,706)","PKR 23,498.48 Shipping & Import Charges to Pakistan",1OO%Polyester,Machine Wash,Imported,"{'Great for Intense Workouts and Everyday Comfort': '5 out of 5 stars', 'Amazing Quality & Price': '5 out of 5 stars', '5 Tanks For Basically the Price of One': '5 out of 5 stars', 'Nice summer shirts at a great price!': '4 out of 5 stars', 'Good shirts': '5 out of 5 stars', 'cool and comfortable fabric': '3 out of 5 stars', 'True to size.': '5 out of 5 stars', 'For the money solid purchase': '5 out of 5 stars'}"
SAMPEEL Womens Two Piece Lounge Sets Casual Summer Outfits 2 Piece Short Matching Clothing Set,"PKR 2,782.71",,4.5 out of 5 stars,"(2,596)","PKR 19,186.52 Shipping & Import Charges to Pakistan","88% Polyester, 12% Spandex","PLEASE NOTE: Vacuum packaging may cause wrinkles on the tops, but washing or ironing will refresh them up",Imported,"{'Effortlessly cute and so comfortable': '5 out of 5 stars', 'Runs small! Good quality, very comfortable and versatile.': '5 out of 5 stars', 'Must have': '5 out of 5 stars', 'Stylish': '4 out of 5 stars', 'Must try set!': '5 out of 5 stars', 'Useful closet addition, size up for more modest coverage': '5 out of 5 stars', 'Love this new outfit!': '5 out of 5 stars', 'I should have sized up 1 size.': '4 out of 5 stars'}"
5-Pack Women's Compression Shirts Short Sleeve Workout Tops Athletic Baselayer Quick Dry Gym Yoga Running T-Shirt,"PKR 6,682.41 with 20 percent savings","PKR8,353.71",4.5 out of 5 stars,(721),"PKR 22,593.19 Shipping & Import Charges to Pakistan","85% Polyester,15%Spandex",Machine Wash,Imported,{'Buena calidad': '5 out of 5 stars'}
2 Pack Mens Athletic Shorts 5 Inch Quick Dry Gym Workout Shorts Men Lightweight Sports Running Shorts with Pockets,"PKR 9,467.91 with 6 percent savings","PKR10,025.01",4.5 out of 5 stars,"(2,297)","PKR 21,384.28 Shipping & Import Charges to Pakistan","90% Nylon, 10% Spandex","Machine Wash, Hand Wash Only",Imported,"{'Un timo y por eses precio aún más timo': '1 out of 5 stars', 'Not quite as advertised, these have liners..': '3 out of 5 stars', 'Taille et retour inadéquates': '1 out of 5 stars', 'Good shorts that I would buy again.': '4 out of 5 stars', 'Dont get it': '1 out of 5 stars'}"
TELALEO 4 Pack Women's Compression Shirt Running Athletic T-Shirts Workout Tops Baselayer Short Sleeve Yoga Gym Sports Gear,"PKR 5,562.64 with 17 percent savings","PKR6,676.84",4.5 out of 5 stars,"(1,220)","PKR 21,437.21 Shipping & Import Charges to Pakistan","85% Polyester,15% Polyurethane(Spandex)",Machine Wash,Imported,"{'Exactly What I Needed!': '5 out of 5 stars', 'Definitely worth the buy!': '5 out of 5 stars', 'I love it': '5 out of 5 stars', 'Good fitting': '4 out of 5 stars', 'Great shirts!': '5 out of 5 stars', 'Fit/quality of the material': '5 out of 5 stars', ""Great quality for a budget price and one of the best things I've ever purchased!"": '5 out of 5 stars', 'Good shirts but not compression': '3 out of 5 stars'}"
"Reebok Men's Phasic Graphic Crewneck T-Shirt, Standard Fit, Lightweight Cotton-Poly Fabric","PKR 2,785.50",,4.4 out of 5 stars,(39),"PKR 20,696.26 Shipping & Import Charges to Pakistan","60% Cotton, 40% Polyester",Machine Wash,Imported,"{'Good': '5 out of 5 stars', 'Excelente material para entrenar': '5 out of 5 stars', 'Basic in the front, bold back graphics': '5 out of 5 stars', 'Super comfortable, fits true to size': '5 out of 5 stars', 'Mañana calidad ya viene con pepas': '1 out of 5 stars', 'Clean Graphics - Comfortable Everyday Wear': '5 out of 5 stars', 'Comfortable Casual Tee': '5 out of 5 stars', 'No issues. Good quality Reebok shirt.': '5 out of 5 stars'}"
"Reebok Men's Quantum Set, Standard Fit, Heavyweight Stretch Cotton-poly Fabric","PKR 14,913.57",,4.6 out of 5 stars,(98),"PKR 31,431.58 Shipping & Import Charges to Pakistan","60% Cotton, 40% Polyester",Machine Wash,Imported,"{'المقاس مظبوط': '5 out of 5 stars', 'La tela es muy comoda!': '5 out of 5 stars', 'Me encanto': '5 out of 5 stars', 'Buena compra': '5 out of 5 stars'}"
